"Run","Condition","BioReplicate"
"20250102_Tulum_NeatK562_Seq1","Condition1",31
"20250102_Tulum_NeatK562_Seq2","Condition1",37
"20250102_Tulum_1to2K562_Seq3","Condition2",13
"20250102_Tulum_1to2K563_Seq4","Condition2",18
"20250102_Tulum_NeatK562_Seq5","Condition1",43
"20250102_Tulum_NeatK562_Seq6","Condition1",44
"20250102_Tulum_1to2K562_Seq7","Condition2",16
"20250102_Tulum_NeatK562_Seq8","Condition1",45
"20250102_Tulum_1to2K562_Seq9","Condition2",17
"20250102_Tulum_NeatK562_Seq10","Condition1",32
"20250102_Tulum_NeatK562_Seq11","Condition1",33
"20250102_Tulum_1to2K562_Seq12","Condition2",3
"20250102_Tulum_1to2K562_Seq13","Condition2",4
"20250102_Tulum_1to2K562_Seq14","Condition2",5
"20250102_Tulum_NeatK562_Seq15","Condition1",34
"20250102_Tulum_NeatK562_Seq16","Condition1",35
"20250102_Tulum_1to2K562_Seq17","Condition2",6
"20250102_Tulum_NeatK562_Seq18","Condition1",36
"20250102_Tulum_1to2K562_Seq19","Condition2",7
"20250102_Tulum_NeatK562_Seq20","Condition1",38
"20250102_Tulum_1to2K562_Seq21","Condition2",8
"20250102_Tulum_NeatK562_Seq22","Condition1",39
"20250102_Tulum_NeatK562_Seq23","Condition1",40
"20250102_Tulum_1to2K562_Seq24","Condition2",9
"20250102_Tulum_1to2K562_Seq25","Condition2",10
"20250102_Tulum_NeatK562_Seq26","Condition1",41
"20250102_Tulum_NeatK562_Seq27","Condition1",42
"20250102_Tulum_1to2K562_Seq28","Condition2",11
"20250102_Tulum_1to2K562_Seq29","Condition2",12
"20250102_Tulum_1to2K562_Seq30","Condition2",14
"20250102_Tulum_1to4K562_Seq31","Condition2",21
"20250102_Tulum_1to2K562_Seq32","Condition1",15
"20250102_Tulum_1to8K562_Seq33","Condition2",24
"20250102_Tulum_1to4K562_Seq34","Condition1",22
"20250102_Tulum_1to16K562_Seq35","Condition2",1
"20250102_Tulum_1to8K562_Seq36","Condition1",25
"20250102_Tulum_1to32K562_Seq37","Condition2",19
"20250102_Tulum_1to16K562_Seq38","Condition1",2
"20250102_Tulum_1to64K562_Seq39","Condition2",23
"20250102_Tulum_1to32K562_Seq40","Condition1",20
